Plan_ID,Plan_Name,Provider_Company,URL,Product_Brochure_route,Plan_category,Coverage_Description,pricing,age, customer requirement, price structure, additional informations,Last_Updated
dental_001,Dental Plan (Info),Blue Cross,https://www.bluecross.com.hk/en/dental-plan/Information,https://www.bluecross.com.hk/-/media/bc/documents/ghd/benefits/dental/Dental_Plan_Brochure.pdf,dental,"Covers dental services (e.g., routine oral examination, fillings, extractions, root canal and other listed items) with itemized limits; Standard reimburses 80% of eligible expenses and Executive reimburses 100%; overall annual limits HK$12,500 (Standard, excluding dentures) and HK$24,000 (Executive, excluding dentures)","Annual premium table (HK$): Standard/Executive — Age 3 or below: 1,954/5,294; Age 4-18: 3,906/10,586",12 days-12,No dental check-up; no individual underwriting at enrolment,Annual payment; premium tiered by plan level and age/sex,"1-year policy term, annual renewal, worldwide coverage, and choice of any registered dentist",2026-03-04
dental_003,香港牙科保 D2,Blue (WeMedi),https://www.blue.com.hk/hk/wemedi-hk-dental-protector,https://www.blue.com.hk/wps/wcm/connect/bc/Blue+Website/Campaigns/WeMedi/DentalProtector/D2_Product_Summary_EN.pdf,dental,"Dental network cover for preventive, basic, complex, and accidental treatments with annual limits HK$5,000/HK$2,000/HK$5,000/HK$5,000 and copay 0%/20%/50%/0%; 10% discount on eligible excess charges at designated clinics",,18-80,HKID holder and Hong Kong residential address required for both policyholder and insured; purchase in Hong Kong SAR only,Annual premium payment; 1-year policy term,"Compassionate death benefit HK$5,000; 30-day grace period for overdue premium",2026-03-04
dental_004,ClinicGo Outpatient Medical and Dental Care Plan (EN),Zurich,https://www.zurich.com.hk/en/products/accident-and-health/clinicgo-outpatient-medical-and-dental-care-plan,https://edge.sitecorecloud.io/zurichinsurf8c0-zwpshared-prod-d824/media/project/zurich-headless/hongkong/docs/individuals/medical-insurance/clinicgo/new-outpatient-dental-planfactsheeteng.pdf,health,"Network-only outpatient medical and dental cover: GP, specialist, physiotherapy, TCM/bone-setting, X-ray/lab, plus dental exam/scaling/fillings/emergency/simple extraction/periodon; plan-based visit limits and co-payments apply; max one visit per item per day","Outpatient annual premium: HKD 1,310 (Standard), 1,720 (Enhanced), 4,038 (Platinum); Dental annual premium: HKD 1,030 (Standard), 1,560 (Enhanced); as low as HKD 99/month (outpatient) and HKD 73/month (dental).",15 days-64,Advance appointment with network doctor; present ClinicGo e-Medical Card plus Hong Kong identity card (or Hong Kong birth certificate for age 12 or below),"Modular selection (outpatient, dental, or bundled) with tiered plans (3 outpatient tiers; 2 dental tiers), annual premium by plan, and per-visit co-payment schedule","virtual consultation available at selected network GPs; policy term is 1 year, renewable up to age 75 (coverage terminates at age 76)",2026-03-04
dental_006,Outpatient Dental Insurance,American Express HK (underwritten by Zurich),https://www.americanexpress.com/en-hk/insurance/my-protection/health/outpatient-dental-insurance,https://edge.sitecorecloud.io/zurichinsurf8c0-zwpshared-prod-d824/media/project/zurich-headless/hongkong/docs/individuals/medical-insurance/clinicgo/new-outpatient-dental-planfactsheeteng.pdf,dental,"Network-only outpatient dental cover: oral examination and scale/polish (Standard: 1 visit/year; Enhanced: 2 visits/year), plus unlimited intra-oral X-rays, fillings due to decay, emergency consultation/treatment, simple decay/gum-disease extractions, periodontal treatment, an","HKD 1,030/year (Standard) and HKD 1,560/year (Enhanced); brochure also states from HKD 73/month.",15 days-64,Individual enrollment; no health declaration,"Two-tier annual premium by plan level (Standard, Enhanced); policy is yearly renewable",No waiting period; policy terminates when insured attains age 76,2026-03-04
dental_008,PRUChoice Group Medical Insurance (mentions dental care benefits),Prudential HK,https://www.prudential.com.hk/en/products/employee-plans/pruchoice-group-medical-insurance/,https://www.prudential.com.hk/content/dam/prudential-phkl/pdf/en/brochure/pruchoice-group-medical-insurance-bestcare-scheme-product-brochure.pdf,health,"Basic worldwide hospital & surgical cover (room/board, surgery and related inpatient costs; up to 120 days per disability) with optional modules: inpatient top-up (80% reimbursement above Hospital & Surgical limits; overseas emergency hospitalization only), outpatient clinical (network/non-network), dental care, and annual health check-up","Annual premium per member (HK$): Hospital & Surgical HS1 3,531, HS2 1,755, HS3 1,107 (if 2-4 employees: HS3 1,359 only); Optional In-Patient Top Up 909/479/403",15 days-64,Hong Kong companies; normally at least 5 employees (2-4 employees only HS3+OP4 and must enroll both),"Community-rated by benefit level (same premium for same level regardless of age), charged annually per member; dental and health check-up charged on full-year basis","2,000+ medical network providers in Hong Kong/Macau; 24-hour emergency assistance with unlimited medical evacuation/repatriation and hospital deposit guarantee up to HK$39,000; key exclusions include recent pre-existing conditions (within 3 months), AIDS/HIV in first 5 years, and pregnancy-related treatment",2026-03-04
dental_036,PRUChoice Group Medical Insurance (includes optional Dental Care Benefit),Prudential HK,https://www.prudential.com.hk/en/products/employee-plans/pruchoice-group-medical-insurance/,https://www.prudential.com.hk/content/dam/prudential-phkl/pdf/en/brochure/pruchoice-group-medical-insurance-bestcare-scheme-product-brochure.pdf,health,"Worldwide hospital and surgical cover (HS1/HS2/HS3) including clinic surgery, plus optional outpatient (GP/specialist/physio/chinese medicine; 100% or 80% reimbursement; 30 visits/year), optional in-patient top-up (80% excess over Hospital & Surgical items 1-9","Annual premium per member (HK$): Hospital & Surgical HS1 3,531; HS2 1,755",15 days-64,Hong Kong operating company; minimum 5 employees (2-4 employees only HS3 + OP4 and must enroll both Hospital & Surgical and Optional Clinical),Annual per-member tiered premium by plan level; optional benefits priced as add-ons,pre-existing/signs within 3 months before coverage start are excluded unless continuously insured under same Prudential group medical policy; HIV/AIDS-related treatment excluded during first 5 membership years,2026-03-04
dental_037,PRUChoice Maid Insurance (includes Dental Expenses),Prudential HK,https://www.prudential.com.hk/PruServlet?lang=en&module=product&prod_cat_id=GI&prod_cd=ECD&prod_type=G&purpose=viewProdDetail&type=iPC,https://www.prudential.com.hk/en/.galleries/pdf/brochure/pruchoice-maid-insurance-product-brochure.pdf,domestic helper insurance,"Employees’ compensation (HK$100,000,000/event), helper medical cover (clinical HK$4,000/year, hospital & surgical HK$30,000/year, dental HK$2,000/year), household property/personal; optional Critical Illness Medical Top-Up covers 40 illnesses and can lift hospital-surgical annual limit to HK$200,000","Per helper: Basic Plan HK$120 (1 month), HK$280 (3 months), HK$300 (1 year), HK$550 (2 years); Comprehensive Plan HK$730 (1 year), HK$1,320 (2 years)",18-65,Applicant must be the employer of the insured helper; helper must perform household work,Per-person premium by selected plan and policy term; 25% premium loading for overseas helper driving duty,"15-day waiting period for Hospital Cash Subsidy, Clinical, Hospitalisation/Surgical, Dental and Critical Illness Top-Up benefits; 12-month waiting period for maternity benefit; Basic Plan 1-month/3-month cancellation has no premium refund",2026-03-04
dental_009,Voluntary Dental Care Benefits for Employees,AIA HK,https://www.aia.com.hk/content/dam/hk/en/pdf/product-brochure/employee-benefits/employee-voluntary-solutions/cheers-macau/CheersMacau_en.pdf.coredownload.inline.pdf,https://www.aia.com.hk/content/dam/hk/en/pdf/product-brochure/employee-benefits/employee-voluntary-solutions/cheers-macau/CheersMacau_en.pdf.coredownload.inline.pdf,dental,"Network dental benefits at designated clinics: scale & polish (once per policy year), oral exam/intra-oral X-ray, fillings, extraction, abscess and emergency treatment, plus 3-day; accidental death MOP100,000 and double accidental death up to MOP200,000 (inclusive of basic accidental death benefit)",MOP420/year per insured member.,15 days-64,"Participating employer with an existing AIA group insurance scheme; employer and employee/dependant enrolment forms, required AML documents, and premium payment",Annual premium per insured member; annual payment mode,1-year benefit term; Macau-only; ages 65-69 are renewal only (protection up to 69),2026-03-04
dental_038,Cheers Macau (Voluntary dental care benefits for employees),AIA HK,https://www.aia.com.hk/en/products/group-insurance/cheers-macau,https://www.aia.com.hk/content/dam/hk/en/pdf/product-brochure/employee-benefits/employee-voluntary-solutions/cheers-macau/CheersMacau_en.pdf,dental,"Network dental care at designated clinics (oral exam/hygiene, intra-oral X-ray if needed, decay fillings, extraction, abscess/emergency treatment, 3-day pain/infection medication); 1-year benefit term",MOP420/year per insured member,15 days-64,For companies already covered under an AIA group insurance scheme (excluding voluntary/top-up); employer and member enrolment documents required,"Annual premium, paid yearly per insured member; non-guaranteed and subject to revision",Macau-only distribution; excluded high-risk industries/organisations,2026-03-04
dental_039,CEO Medical Plan 5 / CEO Medical Plan (Worldwide) 5,AIA HK,https://www.aia.com.hk/en/products/health/ceo-medical-plan-5-series,https://www.aia.com.hk/content/dam/hk/en/pdf/product-brochure/individuals/ceo-medical-plan-5/CEO5_en.pdf,health,"Medical reimbursement cover for hospitalisation, surgery, cancer treatment, dialysis, stroke rehabilitation, emergency treatment, and optional outpatient/dental benefits; overall lifetime limit HK$50,000,000 (US$6,250,000), annual limit HK$20,000,000 (US$2,500,000), deductible choices HK$0/16,000/25,000/50,000 (US$0/2,000/3,125/6,250), worldwide or",,15 days-70,Hong Kong distribution only; add-on version requires attachment to a specified basic plan,Basic plan premium modes: annual/semi-annual/quarterly/monthly; add-on follows the corresponding basic plan,"No-claim deductible discount 10% after every 2 claim-free years, up to 100%; dental optional benefit covers up to age 66",2026-03-04
